compression,defense,attack,clean_acc,robust_acc,asr,robustness_gap,psnr_db,ssim
fp32,none,fgsm,0.8566,0.0554,0.9446,0.8012,30.3,0.9915
fp32,at,fgsm,0.852,0.2738,0.7262,0.5782,30.3,0.9915
fp32,at_kd,fgsm,0.8555,0.1697,0.8303,0.6858,30.3,0.9915
fp32,none,pgd,0.8566,0.0001,0.9999,0.8565,33.28,0.9958
fp32,at,pgd,0.852,0.0001,0.9999,0.8519,33.28,0.9958
fp32,at_kd,pgd,0.8555,0.0,1.0,0.8555,33.28,0.9958
fp32,none,patch,0.8566,0.028,0.972,0.838,23.19,0.9608
fp32,at,patch,0.874,0.058,0.942,0.816,23.19,0.9608
fp32,at_kd,patch,0.8555,0.13,0.87,0.75,23.19,0.9608
int8,none,fgsm,0.855,0.0563,0.9437,0.7987,30.3,0.9915
int8,at,fgsm,nan,nan,nan,nan,30.3,0.9915
int8,at_kd,fgsm,0.8543,0.0282,0.9718,0.8261,30.3,0.9915
int8,none,pgd,0.855,0.0001,0.9999,0.8549,33.24,0.9957
int8,at,pgd,nan,nan,nan,nan,33.24,0.9957
int8,at_kd,pgd,0.8543,0.0,1.0,0.8543,33.24,0.9957
int8,none,patch,0.855,0.166,0.834,0.698,22.73,0.9555
int8,at,patch,nan,nan,nan,nan,22.73,0.9555
int8,at_kd,patch,0.8543,0.06,0.94,0.806,22.73,0.9555
int4,none,fgsm,0.8524,0.145,0.855,0.7074,30.4,0.9917
int4,at,fgsm,nan,nan,nan,nan,30.4,0.9917
int4,at_kd,fgsm,0.852,0.1314,0.8686,0.7206,30.4,0.9917
int4,none,pgd,0.8524,0.0079,0.9921,0.8445,33.23,0.9957
int4,at,pgd,nan,nan,nan,nan,33.23,0.9957
int4,at_kd,pgd,0.852,0.0054,0.9946,0.8466,33.23,0.9957
int4,none,patch,0.8524,0.092,0.908,0.766,23.02,0.9585
int4,at,patch,nan,nan,nan,nan,23.02,0.9585
int4,at_kd,patch,0.852,0.156,0.844,0.704,23.02,0.9585
